coll_nom;coll_siret;code_commune;commune_nom;code_secteur;secteur_nom;code_iris;iris_nom;code_batiment;code_rivoli;voie_nom;code_site;id_nid;protocole;nid_support;nid_espece;nid_traite;nid_nb;nid_nb_oeuf;nid_nb_poussin;annee;long_rgf93cc48;lat_rgf93cc48;long;lat;source;date_der_maj;geo_shape;geo_point_2d
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210101;Arsenal Maritime;;56121_3658;Rue Louis Guiguen;2653;3676;Stérilisation;Toit plat;Argenté;Oui;1;0.0;0.0;1899;1223947.646;7192170.8619;-3.35666166599998;47.752959999999995;Ville de Lorient;2023-05-22;"{""coordinates"": [-3.3566616661229562, 47.75296000033923], ""type"": ""Point""}";47.75296000033923, -3.3566616661229562
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210302;Hôpital Kerforn;;56121_1260;Boulevard Eugène Cosmao-Dumanoir;2651;3674;Stérilisation;Toit plat;Brun;Oui;1;0.0;0.0;1899;1222633.853;7192236.0738;-3.37419666699998;47.75257;Ville de Lorient;2023-05-22;"{""coordinates"": [-3.3741966674344996, 47.752569999587806], ""type"": ""Point""}";47.752569999587806, -3.3741966674344996
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210102;Aristide Briand;;56121_0340;Rue Auguste Nayel;2657;3680;Stérilisation;Toit plat;Argenté;Oui;1;0.0;0.0;1899;1223520.3987;7191539.4477;-3.361646667;47.746983333;Ville de Lorient;2023-05-22;"{""coordinates"": [-3.3616466670613976, 47.7469833332341], ""type"": ""Point""}";47.7469833332341, -3.3616466670613976
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210502;Parc du Scorff;BATIMENT0000000290418897;56121_0555;Rue du Bois-du-Château;642;581;Stérilisation;Toit plat;Argenté;Oui;1;1.0;1.0;2017;1222397.5673;7193535.5524;-3.3787697419999696;47.76404283;Ville de Lorient;2017-05-26;"{""coordinates"": [-3.378769742218661, 47.76404282998134], ""type"": ""Point""}";47.76404282998134, -3.378769742218661
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210502;Parc du Scorff;BATIMENT0000000290418897;56121_0555;Rue du Bois-du-Château;642;582;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1222397.5673;7193535.5524;-3.3787697419999696;47.76404283;Ville de Lorient;2017-05-26;"{""coordinates"": [-3.378769742218661, 47.76404282998134], ""type"": ""Point""}";47.76404282998134, -3.378769742218661
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;439;Stérilisation;Toit pentu;Argenté;Oui;1;1.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;441;Stérilisation;Toit pentu;Argenté;Oui;1;1.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;443;Stérilisation;Toit pentu;Argenté;Oui;1;2.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;447;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;453;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;454;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;456;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407650;56121_0395;Rue Batelière;530;458;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222200.0122;7190178.5474;-3.3776957459999695;47.73380413;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.377695746016798, 47.733804129808526], ""type"": ""Point""}";47.733804129808526, -3.377695746016798
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210302;Hôpital Kerforn;BATIMENT0000000290414134;56121_3550;Boulevard Léon Blum;579;511;Stérilisation;Fibro;Argenté;Oui;1;3.0;0.0;2017;1222639.8276;7191877.9956;-3.37372286900001;47.749364646000004;Ville de Lorient;2017-05-22;"{""coordinates"": [-3.3737228691892316, 47.74936464568411], ""type"": ""Point""}";47.74936464568411, -3.3737228691892316
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210101;Arsenal Maritime;BATIMENT0000000351321068;56121_3658;Rue Louis Guiguen;326;246;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1223945.4712;7192167.459;-3.35668683699998;47.752927885;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.3566868365476394, 47.75292788534933], ""type"": ""Point""}";47.75292788534933, -3.3566868365476394
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210901;Zone Portuaire;BATIMENT0000000290413503;56121_4612;Place de la Porte Gabriel;609;524;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1224210.857;7191320.7949;-3.35222982499999;47.745534801000005;Ville de Lorient;2017-05-23;"{""coordinates"": [-3.352229824621417, 47.745534801153596], ""type"": ""Point""}";47.745534801153596, -3.352229824621417
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210906;Quai de Rohan;BATIMENT0000000290412469;56121_2260;Rue Léon Gambetta;358;298;Stérilisation;Cheminée;Argenté;Oui;1;3.0;0.0;2017;1223218.4438;7191360.224;-3.36546276299998;47.745152842;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.365462763369115, 47.74515284171671], ""type"": ""Point""}";47.74515284171671, -3.365462763369115
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210101;Arsenal Maritime;BATIMENT0000000290415785;56121_5480;Rue Victor Massé;247;172;Stérilisation;Toit plat;Argenté;Oui;1;1.0;0.0;2017;1223576.5014;7192014.0642;-3.3614226899999795;47.751279416;Ville de Lorient;2017-05-24;"{""coordinates"": [-3.361422690202737, 47.751279416081786], ""type"": ""Point""}";47.751279416081786, -3.361422690202737
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210906;Quai de Rohan;BATIMENT0000000290412463;56121_0430;Rue de la Belle Fontaine;356;296;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1223152.2468;7191396.5384;-3.3663824860000195;47.745429257000005;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.3663824856369406, 47.74542925657316], ""type"": ""Point""}";47.74542925657316, -3.3663824856369406
